,Country,Average_Player_Score,Average_Player_Value,rank,Wins,Losses,Ties,Game_Count,win_percentage,lose_percentage
0,Belgium,84.5,32964285.714285713,1.0,93,36,22,151,0.6158940397350994,0.23841059602649006
1,France,86.0,47392857.14285714,2.0,104,22,39,165,0.6303030303030303,0.13333333333333333
2,Brazil,86.21428571428571,41857142.85714286,3.0,111,29,42,182,0.6098901098901099,0.15934065934065933
3,England,84.85714285714286,41464285.71428572,4.0,102,22,36,160,0.6375,0.1375
4,Portugal,84.42857142857143,33107142.85714286,5.0,105,24,42,171,0.6140350877192983,0.14035087719298245
5,Spain,85.64285714285714,34392857.14285714,6.0,125,20,33,178,0.702247191011236,0.11235955056179775
6,Italy,83.85714285714286,25585714.285714287,7.0,107,19,48,174,0.6149425287356322,0.10919540229885058
7,Argentina,85.07142857142857,37214285.71428572,8.0,97,27,46,170,0.5705882352941176,0.1588235294117647
8,Uruguay,81.64285714285714,15964285.714285715,9.0,69,50,54,173,0.3988439306358382,0.28901734104046245
9,Denmark,79.07142857142857,14035714.285714285,10.0,76,30,42,148,0.5135135135135135,0.20270270270270271
10,Mexico,79.21428571428571,12264285.714285715,11.0,127,52,42,221,0.5746606334841629,0.23529411764705882
11,Germany,86.07142857142857,45964285.71428572,12.0,120,25,29,174,0.6896551724137931,0.14367816091954022
12,Switzerland,79.78571428571429,15642857.142857144,13.0,69,28,41,138,0.5,0.2028985507246377
13,Croatia,80.78571428571429,17514285.714285713,14.0,86,34,38,158,0.5443037974683544,0.21518987341772153
14,Colombia,79.78571428571429,12464285.714285715,15.0,73,50,46,169,0.4319526627218935,0.2958579881656805
15,Netherlands,83.42857142857143,33071428.57142857,16.0,109,29,21,159,0.6855345911949685,0.18238993710691823
16,Wales,75.78571428571429,9214285.714285715,17.0,51,48,28,127,0.4015748031496063,0.3779527559055118
17,Sweden,77.28571428571429,8450000.0,18.0,92,42,38,172,0.5348837209302325,0.2441860465116279
18,Chile,77.85714285714286,7914285.714285715,19.0,66,61,34,161,0.40993788819875776,0.37888198757763975
19,United States,75.71428571428571,8550000.0,20.0,122,43,32,197,0.6192893401015228,0.2182741116751269
20,Poland,79.57142857142857,16385714.285714285,21.0,68,36,31,135,0.5037037037037037,0.26666666666666666
21,Senegal,79.42857142857143,18964285.714285713,22.0,78,30,45,153,0.5098039215686274,0.19607843137254902
22,Austria,78.71428571428571,15035714.285714285,23.0,53,40,25,118,0.4491525423728814,0.3389830508474576
23,Ukraine,77.28571428571429,9914285.714285715,24.0,62,37,38,137,0.45255474452554745,0.27007299270072993
24,Serbia,80.5,16714285.714285715,25.0,66,37,38,141,0.46808510638297873,0.2624113475177305
25,Tunisia,71.35714285714286,3307142.8571428573,26.0,76,34,48,158,0.4810126582278481,0.21518987341772153
26,Peru,73.57142857142857,4778571.428571428,27.0,44,73,41,158,0.27848101265822783,0.4620253164556962
27,Japan,75.78571428571429,7650000.0,28.0,118,42,45,205,0.5756097560975609,0.2048780487804878
28,Turkey,77.14285714285714,9907142.857142856,29.0,74,43,38,155,0.4774193548387097,0.27741935483870966
29,Venezuela,74.57142857142857,6928571.428571428,30.0,32,68,31,131,0.24427480916030533,0.5190839694656488
30,Iran,71.07142857142857,3182142.8571428573,31.0,112,22,47,181,0.6187845303867403,0.12154696132596685
31,Nigeria,77.21428571428571,12785714.285714285,32.0,101,35,40,176,0.5738636363636364,0.19886363636363635
32,Algeria,78.0,12278571.42857143,33.0,64,43,36,143,0.44755244755244755,0.3006993006993007
33,Morocco,78.64285714285714,14357142.857142856,34.0,74,27,46,147,0.5034013605442177,0.1836734693877551
34,Paraguay,75.5,8007142.857142857,35.0,51,57,47,155,0.32903225806451614,0.36774193548387096
35,Slovakia,76.64285714285714,10135714.285714285,36.0,61,55,29,145,0.4206896551724138,0.3793103448275862
36,Hungary,73.07142857142857,5017857.142857143,37.0,57,52,24,133,0.42857142857142855,0.39097744360902253
37,Russia,78.07142857142857,8642857.142857144,38.0,82,35,29,146,0.5616438356164384,0.23972602739726026
38,Korea Republic,74.85714285714286,8800000.0,39.0,90,34,52,176,0.5113636363636364,0.19318181818181818
39,Czech Republic,78.14285714285714,10857142.857142856,40.0,86,43,23,152,0.5657894736842105,0.28289473684210525
40,Australia,73.21428571428571,3316071.4285714286,41.0,93,34,27,154,0.6038961038961039,0.22077922077922077
41,Norway,77.42857142857143,12471428.57142857,42.0,59,40,33,132,0.44696969696969696,0.30303030303030304
42,Romania,74.92857142857143,6371428.571428572,43.0,68,39,41,148,0.4594594594594595,0.2635135135135135
43,Scotland,77.5,12964285.714285715,44.0,57,40,25,122,0.4672131147540984,0.32786885245901637
44,Jamaica,71.0,3808928.5714285714,45.0,65,50,35,150,0.43333333333333335,0.3333333333333333
45,Egypt,74.0,7264285.714285715,46.0,90,30,28,148,0.6081081081081081,0.20270270270270271
46,Republic of Ireland,76.14285714285714,7171428.571428572,47.0,55,32,54,141,0.3900709219858156,0.22695035460992907
47,Northern Ireland,71.5,3133928.5714285714,48.0,36,57,30,123,0.2926829268292683,0.4634146341463415
48,Ghana,76.14285714285714,10178571.42857143,49.0,84,40,37,161,0.5217391304347826,0.2484472049689441
49,Costa Rica,71.14285714285714,3467857.1428571427,50.0,98,55,58,211,0.46445497630331756,0.26066350710900477
50,Greece,76.64285714285714,8428571.42857143,51.0,74,41,34,149,0.4966442953020134,0.2751677852348993
51,Iceland,72.5,3583928.5714285714,52.0,46,66,21,133,0.3458646616541353,0.49624060150375937
52,Ecuador,76.0,4100000.0,53.0,49,61,29,139,0.35251798561151076,0.43884892086330934
53,Finland,72.85714285714286,4414285.714285715,54.0,61,50,32,143,0.42657342657342656,0.34965034965034963
54,Cameroon,77.0,10542857.142857144,55.0,89,36,45,170,0.5235294117647059,0.21176470588235294
55,Bosnia Herzegovina,76.5,9114285.714285715,55.0,58,46,29,133,0.43609022556390975,0.3458646616541353
56,Mali,75.14285714285714,7778571.428571428,57.0,67,39,41,147,0.4557823129251701,0.2653061224489796
57,Ivory Coast,77.92857142857143,12714285.714285715,59.0,92,35,41,168,0.5476190476190477,0.20833333333333334
58,Burkina Faso,69.35714285714286,3446428.5714285714,60.0,54,47,36,137,0.39416058394160586,0.34306569343065696
59,DR Congo,74.42857142857143,5985714.285714285,61.0,64,44,42,150,0.4266666666666667,0.29333333333333333
60,North Macedonia,71.78571428571429,3773214.285714286,62.0,31,65,29,125,0.248,0.52
61,Slovenia,77.42857142857143,13007142.857142856,63.0,54,52,35,141,0.3829787234042553,0.36879432624113473
62,Montenegro,71.92857142857143,4314285.714285715,64.0,25,33,22,80,0.3125,0.4125
63,Saudi Arabia,70.71428571428571,2260714.285714286,65.0,111,45,36,192,0.578125,0.234375
64,Albania,72.78571428571429,5344642.857142857,66.0,40,60,25,125,0.32,0.48
65,Honduras,69.42857142857143,2025714.2857142857,67.0,80,61,43,184,0.43478260869565216,0.33152173913043476
66,Iraq,70.75,2800000.0,68.0,75,53,53,181,0.4143646408839779,0.292817679558011
67,El Salvador,66.25,762500.0,69.0,59,57,28,144,0.4097222222222222,0.3958333333333333
68,Canada,72.92857142857143,4892857.142857143,70.0,48,33,26,107,0.4485981308411215,0.308411214953271
69,Bulgaria,68.0,910714.2857142857,71.0,44,46,34,124,0.3548387096774194,0.3709677419354839
70,Guinea,71.78571428571429,4751785.714285715,72.0,58,41,36,135,0.42962962962962964,0.3037037037037037
71,Cape Verde,72.28571428571429,4416071.428571428,73.0,37,35,20,92,0.40217391304347827,0.3804347826086957
72,United Arab Emirates,66.85714285714286,1032857.1428571428,73.0,75,61,37,173,0.43352601156069365,0.35260115606936415
73,South Africa,72.21428571428571,2828571.4285714286,75.0,83,47,59,189,0.43915343915343913,0.24867724867724866
74,Curacao,65.3076923076923,1049230.7692307692,76.0,29,39,20,88,0.32954545454545453,0.4431818181818182
75,China PR,74.07142857142857,5335714.285714285,77.0,74,41,35,150,0.49333333333333335,0.2733333333333333
76,Panama,67.81818181818181,1732727.2727272727,78.0,59,59,46,164,0.3597560975609756,0.3597560975609756
77,Syria,69.75,3150000.0,79.0,64,46,30,140,0.45714285714285713,0.32857142857142857
78,Bolivia,68.71428571428571,914285.7142857143,81.0,22,78,30,130,0.16923076923076924,0.6
79,Benin,68.27272727272727,1145454.5454545454,82.0,33,35,26,94,0.35106382978723405,0.3723404255319149
